001439,12/31/2011,2011,C,INDL,STD,D,USD,A,US ECOLOGY INC,.,154.9170,0.3870
001440,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN ELECTRIC POWER CO,.,15116.0000,18.7100
001447,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN EXPRESS CO,.,32282.0000,62.5000
001448,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN EXPRESS CREDIT CORP,.,984.0000,0.0230
001449,12/31/2011,2011,C,INDL,STD,D,USD,A,AFLAC INC,.,22171.0000,8.5620
001468,02/28/2011,2010,C,INDL,STD,D,USD,A,AMERICAN GREETINGS  -CL A,2.3000,1598.2680,24.8000
001468,02/29/2012,2011,C,INDL,STD,D,USD,A,AMERICAN GREETINGS  -CL A,2.8000,1689.3440,27.5000
001487,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN INTERNATIONAL GROUP,-48.1000,64353.0000,57.0000
001491,12/31/2011,2011,C,INDL,STD,D,USD,A,HADERA PAPER LTD,7.3580,530.4760,2.0860
001496,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN LOCKER GROUP INC,.,13.3860,0.1100
001511,08/31/2011,2011,C,INDL,STD,D,USD,A,GOLF ROUNDS.COM INC,.,0.0000,0.0010
001526,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN NATIONAL INSURANCE,.,3023.0270,3.2070
001533,09/30/2011,2011,C,INDL,STD,D,USD,A,AMERICAN PACIFIC CORP,.,209.6550,0.6530
001545,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN REALTY INVESTORS,.,129.3050,0.0000
001554,03/31/2011,2010,C,INDL,STD,D,USD,A,AMERICAN SCIENCE ENGINEERING,.,278.5760,0.4200
001559,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN SHARED HSPTL SERV,.,22.2210,0.0090
001562,04/30/2011,2010,C,INDL,STD,D,USD,A,AMERICAN SOFTWARE  -CL A,.,85.5890,0.2970
001585,12/31/2011,2011,C,INDL,STD,D,USD,A,AMERICAN VANGUARD CORP,.,304.4290,0.3900
001598,12/31/2011,2011,C,INDL,STD,D,USD,A,AMETEK INC,.,2989.9140,12.2000
001602,12/31/2011,2011,C,INDL,STD,D,USD,A,AMGEN INC,.,15582.0000,17.8000
001611,12/31/2011,2011,C,INDL,STD,D,USD,A,AMPAL-AMERICAN ISRAEL CORP,.,547.7670,1.0080
001613,12/31/2011,2011,C,INDL,STD,D,USD,A,AMPCO-PITTSBURGH CORP,.,344.8160,1.2400
001618,04/30/2011,2010,C,INDL,STD,D,USD,A,AMREP CORP,.,96.8370,1.2300
001632,10/31/2011,2011,C,INDL,STD,D,USD,A,ANALOG DEVICES,.,2993.3200,9.2000
001633,07/31/2011,2011,C,INDL,STD,D,USD,A,ANALOGIC CORP,.,473.5950,1.5000
001634,12/31/2011,2011,C,INDL,STD,D,USD,A,ANALYSTS INTERNATIONAL CORP,.,109.1180,0.9650
001635,06/30/2011,2011,C,INDL,STD,D,USD,A,ANAREN INC,.,179.1700,1.0320
001650,12/31/2011,2011,C,INDL,STD,D,USD,A,ANDREA ELECTRONICS CORP,.,4.1640,0.0190
001659,12/31/2011,2011,C,INDL,STD,D,USD,A,ANDERSONS INC,.,4576.3310,2.9850
001661,12/31/2011,2011,C,INDL,STD,D,USD,A,NABORS INDUSTRIES LTD,6.2570,6060.3510,23.4140
001676,06/30/2011,2011,C,INDL,STD,D,USD,A,MAXUM ENERGY LOGISTICS -REDH,.,1484.9720,0.0000
001678,12/31/2011,2011,C,INDL,STD,D,USD,A,APACHE CORP,.,16810.0000,5.2990
001681,12/31/2011,2011,C,INDL,STD,D,USD,A,APOLLO SOLAR ENERGY INC,.,10.3690,0.1500
001682,12/31/2011,2011,C,INDL,STD,D,USD,A,APCO OIL AND GAS INTL INC,.,104.7800,0.0260
001686,02/28/2011,2010,C,INDL,STD,D,USD,A,APOGEE ENTERPRISES INC,.,582.7770,3.5550
001686,02/29/2012,2011,C,INDL,STD,D,USD,A,APOGEE ENTERPRISES INC,.,662.4630,3.6360
001689,12/31/2011,2011,C,INDL,STD,D,USD,A,APPALACHIAN POWER,.,3205.2250,2.1760
001690,09/30/2011,2011,C,INDL,STD,D,USD,A,APPLE INC,.,108249.0000,63.3000
001704,10/31/2011,2011,C,INDL,STD,D,USD,A,APPLIED MATERIALS INC,26.6000,10517.0000,12.9730
001706,08/31/2011,2011,C,INDL,STD,D,USD,A,ACTUANT CORP  -CL A,.,1445.3230,6.2000
